Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
4004,234,2,76.8,2,1,3,213,6,REGULARS
3724,19,3,76.8,4,2,3,423,9,ACTIVE
1969,160,5,76.76,2,4,3,243,9,LOYAL
1215,346,3,76.71,1,2,3,123,6,LOST
2464,164,4,76.7,2,3,3,233,8,REGULARS
2902,136,3,76.7,3,2,3,323,8,REGULARS
1339,32,5,76.7,4,4,3,443,11,LOYAL
4372,153,4,76.65,2,3,3,233,8,REGULARS
3368,296,3,76.65,1,2,3,123,6,LOST
4659,369,4,76.6,1,3,3,133,7,LOST
1974,241,1,76.6,2,1,3,213,6,REGULARS
4121,59,6,76.52,3,4,3,343,10,LOYAL
4527,73,5,76.5,3,4,3,343,10,LOYAL
3237,185,4,76.5,2,3,3,233,8,REGULARS
2958,199,5,76.4,2,4,3,243,9,LOYAL
2999,149,3,76.3,2,2,3,223,7,REGULARS
4504,117,5,76.3,3,4,3,343,10,LOYAL
3038,353,5,76.3,1,4,3,143,8,LOYAL
2407,295,3,76.3,1,2,3,123,6,LOST
1660,157,3,76.25,2,2,3,223,7,REGULARS
2132,376,5,76.2,1,4,3,143,8,LOYAL
3519,17,3,76.2,4,2,3,423,9,ACTIVE
4240,26,5,76.17,4,4,3,443,11,LOYAL
1955,320,4,76.12,1,3,3,133,7,LOST
4786,395,3,76.1,1,2,3,123,6,LOST
2571,166,3,76.1,2,2,3,223,7,REGULARS
4459,12,5,76.1,4,4,3,443,11,LOYAL
2864,149,4,76.04,2,3,3,233,8,REGULARS
1987,76,3,76.0,3,2,3,323,8,REGULARS
3808,134,5,76.0,3,4,3,343,10,LOYAL
2696,119,5,76.0,3,4,3,343,10,LOYAL
1506,370,2,76.0,1,1,3,113,5,LOST
3930,171,2,76.0,2,1,3,213,6,REGULARS
3210,7,3,75.9,4,2,3,423,9,ACTIVE
4066,393,4,75.9,1,3,3,133,7,LOST
1012,41,4,75.86,4,3,3,433,10,ACTIVE
4268,249,5,75.75,2,4,3,243,9,LOYAL
2565,93,4,75.74,3,3,3,333,9,REGULARS
3853,179,1,75.7,2,1,3,213,6,REGULARS
3866,176,5,75.7,2,4,3,243,9,LOYAL
1055,219,2,75.7,2,1,3,213,6,REGULARS
3223,511,1,75.6,1,1,3,113,5,LOST
4500,205,4,75.6,2,3,3,233,8,REGULARS
3831,77,4,75.55,3,3,3,333,9,REGULARS
3106,598,3,75.54,1,2,3,123,6,LOST
3407,280,4,75.5,2,3,3,233,8,REGULARS
2877,264,2,75.5,2,1,3,213,6,REGULARS
2483,63,4,75.5,3,3,3,333,9,REGULARS
1017,91,5,75.49,3,4,3,343,10,LOYAL
2613,129,6,75.45,3,4,3,343,10,LOYAL
